Filename,True,Prediction
"Bee hoon, goreng/FYFKKAQBUT61KK1OP9SF26FY.jpg","Bee hoon, goreng","Mee siam, fried"
"Bee hoon, goreng/H65IUJBL9NSDQKI5Z1BSWPM4.jpg","Bee hoon, goreng",bee hoon
"Bee hoon, goreng/HJZ6W06IRLMOXNF3ZO4SM17N.jpg","Bee hoon, goreng",thunder tea rice
"Bee hoon, goreng/HOOCK2LWDJ9XV9J33NCCFVP0.jpg","Bee hoon, goreng",bee hoon
"Bee hoon, goreng/IBXEVB1DALG2ZGOBRYLEC0IY.jpg","Bee hoon, goreng","Wanton mee, dry"
"Bee hoon, goreng/MBUIWRPOC6QRXDY8QW31G2EC.jpg","Bee hoon, goreng",wholegrain pasta
"Bee hoon, goreng/OOGR8TIA1XR0XXA44OM2ND74.jpg","Bee hoon, goreng",drunken prawn
"Bee hoon, goreng/R0BDR3VZD5GBERH6MFV7SGVD.jpg","Bee hoon, goreng",Fried Noodles
"Bee hoon, goreng/SB7AI12VGF3EK620ZDLT96QG.jpg","Bee hoon, goreng",mushroom soup
"Bee hoon, goreng/SSC35HNYYANVWCO34BXIK2M7.jpg","Bee hoon, goreng","Pilaf, pea"
"Bee hoon, goreng/UHCCGISM54OXVF1PXRQ6PW4K.jpg","Bee hoon, goreng",bee hoon
"Bee hoon, goreng/V7036NVO1GNMRIQDOD5SC6Y9.jpg","Bee hoon, goreng",bee hoon
"Bee hoon, soto/3RV10HJGW70X0LSGWOM9TR5I.jpg","Bee hoon, soto",Hor Fun
"Bee hoon, soto/4VALKKRIIOOO392N90R0L01M.jpg","Bee hoon, soto",tom yum noodle soup
"Bee hoon, soto/5GIO6PA6BWGJQ5TT3HGZ8RHA.jpg","Bee hoon, soto",chicken rice
"Bee hoon, soto/62SIU91BN313NEVXS8KR4RA3.jpg","Bee hoon, soto",Mee soto
"Bee hoon, soto/72GDL0WLZSJW232V6NYW3AUE.jpg","Bee hoon, soto",Soto ayam
"Bee hoon, soto/8385XTT5OY8BS6A2F2VL9M96.jpg","Bee hoon, soto",yong tau foo
"Bee hoon, soto/8OETW9OQRRB58EVKMFZWTGQ4.jpg","Bee hoon, soto",Soto ayam
"Bee hoon, soto/AD824AD9QAYQM3CD17D6L0BT.jpg","Bee hoon, soto",Prawn Noodle
"Bee hoon, soto/AD8VCQGJR0PJWJG353GHQJTJ.jpg","Bee hoon, soto","Pilaf, pea"
"Bee hoon, soto/CSKJLYJ4FTW4T4E9APNN7JOS.jpg","Bee hoon, soto","Wanton mee, dry"
"Bee hoon, soto/D0PNIUEUI4AXC65GRAOB86T5.jpg","Bee hoon, soto",Mee soto
"Bee hoon, soto/DA7ADU1UZL02MNC7A8OM0UUD.jpg","Bee hoon, soto",tau suan
"Bee hoon, soto/FK2GP041M7VYWP7A90C0F2R5.jpg","Bee hoon, soto",Ban Mian
"Bee hoon, soto/FQWCC26DEKTS6VPUXX3O7ZJM.jpg","Bee hoon, soto",bee hoon
"Bee hoon, soto/GG2XTMR2UN9YO0ZW2BIX3BCU.jpg","Bee hoon, soto",Soto ayam
"Bee hoon, soto/I4F7XL216ZNAA1QE8C0POKHX.jpg","Bee hoon, soto",Mee soto
"Bee hoon, soto/L5ASJSHMVL0A86RC2SFMQ3BG.jpg","Bee hoon, soto",bakso
"Bee hoon, soto/L62TMI0QHZAATFR964GIG6VE.jpg","Bee hoon, soto",Udon
"Bee hoon, soto/LNCLN103MMVKM7SIJ8V5XZWF.jpg","Bee hoon, soto",kway chap
"Bee hoon, soto/MQMGS8I7AXJB7WWJ3YFG1KR5.jpg","Bee hoon, soto",mee pok
"Bee hoon, soto/NDWRHOPKY3MLPXHAMWBEJUD2.jpg","Bee hoon, soto",Soto ayam
"Bee hoon, soto/NTGMHXCHQ66OPG8394XBFHFO.jpg","Bee hoon, soto",Mee siam
"Bee hoon, soto/OABEYK4IQYPLRMIK93SZ6AW0.jpg","Bee hoon, soto",bee hoon
"Bee hoon, soto/PJ0M5N9V3O8PNP0LDA9WAQ1B.jpg","Bee hoon, soto",Mee soto
"Bee hoon, soto/Q3P1OLGB1Z4JVTMUU6S312PT.jpg","Bee hoon, soto",Udon
"Bee hoon, soto/S7APCK0W4XZC3DQ7KLA9UM5X.jpg","Bee hoon, soto",steamed grouper
"Bee hoon, soto/TFA3A20OKPJY33FHI63WC6O4.jpg","Bee hoon, soto","Wanton mee, dry"
"Bee hoon, soto/U0N0XT9D8AGSTRPTLBETH5YQ.jpg","Bee hoon, soto",Fish Ball Noodles
"Bee hoon, soto/U99EG2T9NBQGKLGUFJ74M06V.jpg","Bee hoon, soto",Soto ayam
"Bee hoon, soto/V3V9SZTO2QOSCYOMQUF37EAA.jpg","Bee hoon, soto",Soto ayam
"Bee hoon, soto/VI2KAORLZNUR5J2TARQ9SYZ5.jpg","Bee hoon, soto",Mee soto
"Bee hoon, soto/VO5F0JSVLMJJAGQD9YFBFCDR.jpg","Bee hoon, soto",Mee soto
"Bee hoon, soto/XDRPPLG7CCICLWI5TQIMM51Y.jpg","Bee hoon, soto",Mee soto
"Bee hoon, soto/Y593DRGL5B3LAAJ7W8WU48K5.jpg","Bee hoon, soto",sliced fish soup
"Bee hoon, soto/ZQX2UXEGUHQ739O87M1KFYGF.jpg","Bee hoon, soto",hokkien prawn mee
"Bee hoon, soto/ZTQ3QUNLZEDEWOKHCOZ1JGET.jpg","Bee hoon, soto",Mee soto
"Bee hoon, soto/ZX1JNK18SNUHIB4VDEFAR28M.jpg","Bee hoon, soto",Mee soto
Bibimbap/CL8F78HKLH2ICDPF7RCJAD7D.jpg,Bibimbap,tandoori chicken
Blackberry/I7NFC0EZQAYEABKZUR8E9YZW.jpg,Blackberry,Grape
Blackberry/Y8JF1GUKA8HHC0MVS3TWSRJO.jpg,Blackberry,longan
Bubble Milk Tea/E3X26AF1LB5B60HW9OZXQVVG.jpg,Bubble Milk Tea,chin chow drink
Bubble Milk Tea/EGDPZ1QU4THX3HIM792J2S3D.jpg,Bubble Milk Tea,Kopi Teh Milo
Bubble Milk Tea/EZQL042PVYW8X2F3CNSW1PKQ.jpg,Bubble Milk Tea,milk
Bubble Milk Tea/RJE6TPNM9K3VCQ4GYNO2JY5O.jpg,Bubble Milk Tea,pitaya
Bubble Milk Tea/ZSM77C9GZ2NDF9JWQTW98CB4.jpg,Bubble Milk Tea,chin chow drink
Burger/HCDSCMK5Y30QL35K83KJF0TW.jpg,Burger,sandwich
Burger/IXMFGUKU9E51LZLN84L1EK6L.jpg,Burger,sausage rolls
Burger/M625CHUKGX5J97BO1ZIZTUIP.jpg,Burger,sandwich
Burger/Y8JHWCCOMK8S55C3NRMV3TRO.jpg,Burger,tiramisu
CNY love letter/55DJUZCSXAKMTGEK6VZGDFG8.jpg,CNY love letter,biscuit
CNY love letter/CU63I9EBSTHRT4S3C70JV4GO.jpg,CNY love letter,ice cream - vanilla
CNY love letter/JPDP3RDVN4CMUEQ4PVHFBXMN.jpg,CNY love letter,pineapple tarts
CNY love letter/MWKON6OWFT756WPPO4JEP454.jpg,CNY love letter,kuih bahulu
CNY love letter/QIWLY94M58EMY30APS5U0554.jpg,CNY love letter,yuseng
CNY love letter/QLLBP1J6NWGHY70K938YAFIC.jpg,CNY love letter,chai tow kuay
CNY love letter/S49RTKHCYD087GQQFVSDRLLU.jpg,CNY love letter,banana
CNY love letter/Y3IXHXM2KUDXELD07E4E2FYH.jpg,CNY love letter,Chocolate
"Chap chye, Nonya/1J23LH3Q6KMATB8EZHDIOBF2.jpg","Chap chye, Nonya",begedil
"Chap chye, Nonya/BT95GFVPVAQMBOJNR60DCMRZ.jpg","Chap chye, Nonya",mixed vegetables
"Chap chye, Nonya/C7EE3AD1TPEG22LYSG9X9M5R.jpg","Chap chye, Nonya",yong tau foo
"Chap chye, Nonya/CUD28D6VH7BW7CH35F0CSRXU.jpg","Chap chye, Nonya",sambal
"Chap chye, Nonya/DA7A8MDQBHCTILFDANFKZEJY.jpg","Chap chye, Nonya","Rice, korean bulgogi beef"
"Chap chye, Nonya/GL8OU2V9H8FDREQ53X8XGDT6.jpg","Chap chye, Nonya",har cheong gai
"Chap chye, Nonya/W04HZN39UF2HIORDH8I98XF3.jpg","Chap chye, Nonya",Kway Teow
"Chap chye, Nonya/WR6IPKF77YZ0WLXTX6BKQ30M.jpg","Chap chye, Nonya",tacos and nachos
Chinese fritters/0MB3FUVXUPA75RDJPWNIAXC1.jpg,Chinese fritters,har cheong gai
Chinese fritters/0ONMFER9VMTDEKJIEAINDVZF.jpg,Chinese fritters,Chocolate
Chinese fritters/0Z3MS008C0EIKH7PPIQQS6KO.jpg,Chinese fritters,fried chicken
Chinese fritters/1TW6RISM1QDRU7VL1ZLXN05D.jpg,Chinese fritters,ice kacang
Chinese fritters/3A41NQM4TKNV1H02TVDUV1M4.jpg,Chinese fritters,sausage rolls
Chinese fritters/3Q1SPR7M3NR30DVXY102HXT1.jpg,Chinese fritters,har cheong gai
Chinese fritters/49M299F133P2DO2ZKPEAMA9K.jpg,Chinese fritters,Fish and chips
Chinese fritters/6AGO2QBBGJFH8X4M2WFR0WSA.jpg,Chinese fritters,preserved fruit snacks
Chinese fritters/8Y74BLH1TG6CIZQVQXSZG810.jpg,Chinese fritters,vadai
Chinese fritters/9NZI5MP6N4T9ECM0I45CI7QG.jpg,Chinese fritters,vadai
Chinese fritters/DI45KA77WKAHENJHJUY58D5T.jpg,Chinese fritters,"Don, chicken teriyaki"
Chinese fritters/DYJHDB5RM1MSNQVJS9XRV8GJ.jpg,Chinese fritters,har cheong gai
Chinese fritters/FQKSV62TCEPLLJR5FVRIG9B3.jpg,Chinese fritters,fried chicken
Chinese fritters/G1DPSA6C09ZNTX4MZSIHWLB1.jpg,Chinese fritters,canned Fruit salad
Chinese fritters/IP67VMZW27P7FO6BR19XXH5P.jpg,Chinese fritters,chicken masala
Chinese fritters/K6N4GOMG8YLSJSGIVT5H6SGU.jpg,Chinese fritters,biscuit
Chinese fritters/KQ8K3RZXZD2WLOWCT0F0PPKH.jpg,Chinese fritters,fried prawn
Chinese fritters/N00NCLC3NA7NCOXRNGLOECRP.jpg,Chinese fritters,tacos and nachos
Chinese fritters/O2MQH1X8F0ZV9794K01WJ4EV.jpg,Chinese fritters,fried prawn
Chinese fritters/PEWU003398KS3NUG08YO3KU4.jpg,Chinese fritters,spring rolls
Chinese fritters/PLIGQS5Y4BTW58SZD10IDO0H.jpg,Chinese fritters,Tauhu Goreng
Chinese fritters/QNJNN5QEA6I3YOPV1687CS6S.jpg,Chinese fritters,hotplate tofu
Chinese fritters/RPX30N6YMFGUSX63V36CZXWF.jpg,Chinese fritters,chai tow kuay
Chinese fritters/S22R9C3YL5LTP7S22PAXR3SS.jpg,Chinese fritters,vadai
Chinese fritters/U5G2ZBPYEPK80FI7SL1MGCTS.jpg,Chinese fritters,fried chicken
Chinese fritters/W3DCKXE3G5668FCU4Z0955QX.jpg,Chinese fritters,egg tart
Chinese fritters/WTPQRXXGXRDE1MH4PZ7AY3B0.jpg,Chinese fritters,pancake
Chinese fritters/WZGVA49111404AVIY4QCHZZI.jpg,Chinese fritters,oyster omelette
Chinese fritters/XZHB4RT44CHTLMGIU3LRF6I3.jpg,Chinese fritters,begedil
Chinese fritters/YAC4RB4XAIB9E2GYQB4N49TU.jpg,Chinese fritters,vadai
Chocolate/0TVAVMQALC9XB6JLL0PBI429.jpg,Chocolate,cake
Chocolate/15JH4HJQWIT7G9O73C7U1OGR.jpg,Chocolate,seaweed snack
Chocolate/1SRWEHFLCT4E3YZXBKTHRPVV.jpg,Chocolate,Snacks and Chips
Chocolate/3PSTCLDZMB0WL81U2I00SVRH.jpg,Chocolate,seaweed snack
Chocolate/3YOYL67N84YCU7KC1759AV51.jpg,Chocolate,buckwheat
Chocolate/5CPCAHDIDPZKMQVEZBJ1FHDD.jpg,Chocolate,Seafood Noodles Soup
Chocolate/6FUL9NFI08MUN8ZRCGBWT8O7.jpg,Chocolate,cake
Chocolate/80BF1DI5J5YDG815YULVF6UF.jpg,Chocolate,banana
Chocolate/82IGD5ST68JFV3ZF4AN5D1SS.jpg,Chocolate,Sweets
Chocolate/9C66KVHMY27GP2CAPCS39UFR.jpg,Chocolate,breakfast cereal
Chocolate/ABDENQEW9OYU03K1471DGB9I.jpg,Chocolate,Snacks and Chips
Chocolate/AZ8RWBW79SVD145N5KQ2C5FY.jpg,Chocolate,Nuts
Chocolate/BZBFP13VUO8BJI4QBHAJB44Y.jpg,Chocolate,cherries
Chocolate/C1I9NX3LBH230S4UXZDQBJ4I.jpg,Chocolate,Kueh Salat
Chocolate/CS15YN80EKUA7W4PQHG1RTSB.jpg,Chocolate,breakfast cereal
Chocolate/CXCU3S5HTKOACBTMUZ1R4MQG.jpg,Chocolate,Nuts
Chocolate/DTBP2O3MX8RUM590LSVZ6M0M.jpg,Chocolate,ice cream - chocolate
Chocolate/DU9ABLYW3JDFF0K4UGPBZSB3.jpg,Chocolate,muesli
Chocolate/EX43DVILXGUR1BJ4CI3FJ3H1.jpg,Chocolate,cake
Chocolate/EXLDHVX07BQNB9H1WJUX9NLR.jpg,Chocolate,Sweets
Chocolate/FHJAW3HRTYCH7L9QDATOIAO2.jpg,Chocolate,Sweets
Chocolate/FYMX3K9S5CJEI3VFEJMVLQVH.jpg,Chocolate,cake
Chocolate/G6MHS1OR76S5A7J6JYPASVYP.jpg,Chocolate,baked beans
Chocolate/ICNNTGM9H1ZI5ZLYFWZAP663.jpg,Chocolate,biscuit
Chocolate/JTVB01JW3INU6I3OYB7OZQFM.jpg,Chocolate,Snacks and Chips
Chocolate/LVR9ZDWHTDVR26FJB2MTTSEV.jpg,Chocolate,tutu kueh
Chocolate/OU8T6LJIY5PIMCJM8GTG2HQY.jpg,Chocolate,cake
Chocolate/OWAORGUCBO595TBVID6EQ4JP.jpg,Chocolate,biscuit
Chocolate/P8ICIVFZ66YKNBSKXWK03UWY.jpg,Chocolate,breakfast cereal
Chocolate/PN995M9XX2293BQA93Q8HRFR.jpg,Chocolate,Nuts
Chocolate/QKJ2DZ8WZLMLU7CTHSMLFILM.jpg,Chocolate,Sweets
Chocolate/R0DAI2XL0JO7J1CJWWGXNY63.jpg,Chocolate,durian
Chocolate/RROZJ9QMRBQHA504N3BWV8XJ.jpg,Chocolate,biscuit
Chocolate/RTH3MI08S7ECVKQM19KM0Y4Y.jpg,Chocolate,tiramisu
Chocolate/SKJH04G3UJEC3B3ZRC9SZNCC.jpg,Chocolate,popcorn
Chocolate/SZZH3AKMPFMFAZDT2ET0TSUI.jpg,Chocolate,cake
Chocolate/U7IC5NP39YHKYM53JTOYM2TZ.jpg,Chocolate,cake
Chocolate/WLF5Z5Q04RP3YS6HA4MPUU8O.jpg,Chocolate,Nuts
Chocolate/Y13XDEN37M7IWN6O4FRC40WI.jpg,Chocolate,Sweets
Chocolate/YCVDBPVQSTTNB9XTXAUIBF9H.jpg,Chocolate,waffle
Chocolate/YK5WERM4BXYWZ94N7QVN0M6F.jpg,Chocolate,Nuts
Chocolate/Z4L103CARULPGZMGAP0MQ70I.jpg,Chocolate,Nuts
Chocolate/ZD2L8560XQ52GRF0A6620HVL.jpg,Chocolate,tiramisu
Claypot Rice/17M89N6UQ2F4QJB6PXP55139.jpg,Claypot Rice,Lontong with sayur lodeh
Claypot Rice/846JB6N0COTMK9OGIP2Z0DAA.jpg,Claypot Rice,cooked brown rice
Claypot Rice/C5O0TGEB1TYXI637EUPAD17D.jpg,Claypot Rice,"Pilaf, pea"
Claypot Rice/K3R0ZS8RIA5Q320QTT6XLTHR.jpg,Claypot Rice,cheese fries
Claypot Rice/PTEM2SR61PLTMGHVO7W7AJA1.jpg,Claypot Rice,mixed vegetables
Claypot Rice/QAIMKYTRXXVQ7XAXV3PVGEZZ.jpg,Claypot Rice,muesli
Claypot Rice/QHJDT7BARD9P0AP6L3KVRORW.jpg,Claypot Rice,"Don, chicken teriyaki"
Claypot Rice/SBAD9J7JNWE0F3C822NVHQ36.jpg,Claypot Rice,baked beans
Claypot Rice/SFO12UOXSLBJ6FKXFTHKKX2E.jpg,Claypot Rice,yong tau foo
Cucumber/YVF4FRA5MPS2VPGQFMRHZWMW.jpg,Cucumber,green leafy vegetables
"Don, chicken teriyaki/1UIN4JR78CNIFTHPN1ABND6E.jpg","Don, chicken teriyaki","Don, unagi"
"Don, chicken teriyaki/1WIQQ3OZBTF2AQ0UVN5FTT1R.jpg","Don, chicken teriyaki",hotplate tofu
"Don, chicken teriyaki/2C5LUI79FNKCQ70KL3CGR2G4.jpg","Don, chicken teriyaki",spring rolls
"Don, chicken teriyaki/9SVEDREVVQ0Q2Z2LG41VG81B.jpg","Don, chicken teriyaki","Rice, korean bulgogi beef"
"Don, chicken teriyaki/AJ2DWV6EVLBET3DJ6TYBNE53.jpg","Don, chicken teriyaki",Kway Teow
"Don, chicken teriyaki/FCVFTLIJOMM49O421D2H89JQ.jpg","Don, chicken teriyaki",chicken masala
"Don, chicken teriyaki/GNQ5SKVI80I8MBWOHS3JDQZ6.jpg","Don, chicken teriyaki","Rice, chicken katsu with Japanese curry"
"Don, chicken teriyaki/IP42F716TBHA8E347NEZG4JD.jpg","Don, chicken teriyaki","Wanton mee, dry"
"Don, chicken teriyaki/J73LAAAFC6ZHMEM7HYMTRI38.jpg","Don, chicken teriyaki","Rice, with dakgalbi"
"Don, chicken teriyaki/M1P580G0QP2F6SKMIF4H1QT8.jpg","Don, chicken teriyaki",sushi
"Don, chicken teriyaki/MJA7CFUFQW07FKLBZMEZUJ61.jpg","Don, chicken teriyaki",Katsudon
"Don, chicken teriyaki/NAXNRMO3JOPCXZDGXWDO62EG.jpg","Don, chicken teriyaki",Hor Fun
"Don, chicken teriyaki/PKC71CY7A0RM0J8XXU36A1W4.jpg","Don, chicken teriyaki",Katsudon
"Don, chicken teriyaki/RSR5FT3V139JFSMKBZEW4HIT.jpg","Don, chicken teriyaki",Hor Fun
"Don, chicken teriyaki/SW38O379TX7CN7WB2CRRPN56.jpg","Don, chicken teriyaki","Don, unagi"
"Don, chicken teriyaki/U1WHEBUSH62QTNBGGG4025E2.jpg","Don, chicken teriyaki",hotplate tofu
"Don, chicken teriyaki/VUDZSE16HJR0AZKXYEJTZRDF.jpg","Don, chicken teriyaki",Duck Rice
"Don, chicken teriyaki/Y38C9G33DXRVP23L7WEY25QB.jpg","Don, chicken teriyaki",Lor mee
"Don, chicken teriyaki/YCKKXY6RJ8N2KTDL9ZOZPTO8.jpg","Don, chicken teriyaki","Rice, with dakgalbi"
"Don, chicken teriyaki/Z2MGY7GONRAA6GYG4F6VH4CM.jpg","Don, chicken teriyaki","Don, unagi"
"Don, unagi/HRKX19W145AUKB57EUHINO04.jpg","Don, unagi",Tauhu Goreng
"Don, unagi/RN3V72AP0ML2YVVK8D2C4M38.jpg","Don, unagi","Don, chicken teriyaki"
"Don, unagi/VANN11YOIARMTAGCTLQK5HE5.jpg","Don, unagi",chawanmushi
"Don, unagi/XZE2ICCEF44NXPC9CL3ZTZ5B.jpg","Don, unagi","Don, chicken teriyaki"
Duck Rice/0R7DJ219T1U6ADPT5E90JOJP.jpg,Duck Rice,fried rice
Duck Rice/2JPBC7Z2384D6YZFMZRMAZ8W.jpg,Duck Rice,char siew
Duck Rice/3QBGOM0RPZAGMWKNDUHNXFCD.jpg,Duck Rice,char siew
Duck Rice/4OFGKF5DLA8Z6ZXL7AYBOKT7.jpg,Duck Rice,char siew
Duck Rice/53LURSBLI5JDSXQFSLKZFYIS.jpg,Duck Rice,nasi lemak
Duck Rice/5QUZN1KFVGLB86YW0SVHU8C5.jpg,Duck Rice,lamb chops
Duck Rice/77S6Q87SNI2AK7LJ85WWU5GK.jpg,Duck Rice,kway chap
Duck Rice/A2IG1NNAQRQV9OKVQ3PKVZKI.jpg,Duck Rice,yam rice
Duck Rice/CJ2QYH0N6WT8PLCK547FSAT9.jpg,Duck Rice,chicken rice
Duck Rice/D9FGVPVM6MJ8FGQ68MSHSNK5.jpg,Duck Rice,roasted chicken
Duck Rice/EE0X2XU6L3YU1OEV8YRTZWCX.jpg,Duck Rice,chicken rice
Duck Rice/FJGVNM016KZ4Q3B3C1NKDI0S.jpg,Duck Rice,yam rice
Duck Rice/HJY2FS064JNPHJQ8D2XZAODH.jpg,Duck Rice,lamb chops
Duck Rice/INIVTEBPQR49C33O25EGPTR8.jpg,Duck Rice,sliced fish soup
Duck Rice/JWSYYIK9VYIMB7PZS3Y54D4F.jpg,Duck Rice,char siew
Duck Rice/LGJWP6T14YHVW98U8PEWQOKF.jpg,Duck Rice,yam rice
Duck Rice/M5U5MBH1ZJPNRT8JI4MYHG9K.jpg,Duck Rice,Mee siam
Duck Rice/PHTJ2ZWI6CAEJELK6KP263T6.jpg,Duck Rice,Mee rebus
Duck Rice/W4JYMKZMQ38ISVB7W7PHXMXW.jpg,Duck Rice,Hor Fun
Duck Rice/Z2YT7I4JUG2VLKMPUFVNFX5N.jpg,Duck Rice,sushi
Dumpling noodle soup/063JIDBZKRC9M2NK3U48XBD5.jpg,Dumpling noodle soup,hokkien prawn mee
Dumpling noodle soup/2GXIXSGU7MVMKTJBZ3C0VBFY.jpg,Dumpling noodle soup,beef noodle soup
Dumpling noodle soup/5SEKX38IG343S16F7OHSQ4YC.jpg,Dumpling noodle soup,chicken soup
Dumpling noodle soup/78R65G8K4Q3TXK2IPVM4CL26.jpg,Dumpling noodle soup,"Wanton mee, dry"
Dumpling noodle soup/7GA8E9B4BGWGK2ZSH2ZTYGZY.jpg,Dumpling noodle soup,beef noodle soup
Dumpling noodle soup/8N1MTMAINN2QBTI7H49N4DIM.jpg,Dumpling noodle soup,chicken soup
Dumpling noodle soup/9TT7INY41WD20YX9EVCN2KX0.jpg,Dumpling noodle soup,chicken soup
Dumpling noodle soup/AFBJEZAUBRIG3JMMR1ZOYABK.jpg,Dumpling noodle soup,dumpling
Dumpling noodle soup/B0QMFJT6FW10ZQTQPA9F1PNX.jpg,Dumpling noodle soup,dumpling
Dumpling noodle soup/HEUP5WEV9ZUHMTOQ6SB1NOU3.jpg,Dumpling noodle soup,hotplate tofu
Dumpling noodle soup/KHE024FSQ2R54IUDZ8HGCP39.jpg,Dumpling noodle soup,"Wanton mee, dry"
Dumpling noodle soup/NHXXZJZO37XP3EFUHW8ALJNU.jpg,Dumpling noodle soup,dumpling
Dumpling noodle soup/OKMACK30YNJ0ZHOUCIHMOGEA.jpg,Dumpling noodle soup,Fish Ball Noodles
